Tanggal,Jam,Menit,Detik,Waktu,frekuensi,label
01/07/2025,11,25,25,11:25:25,10354,Tahap-0
01/07/2025,11,25,26,11:25:26,2123,Tahap-0
01/07/2025,11,25,26,11:25:26,826,Tahap-0
01/07/2025,11,25,26,11:25:26,104,Tahap-0
01/07/2025,11,25,26,11:25:26,366,Tahap-0
01/07/2025,11,25,26,11:25:26,64,Tahap-0
01/07/2025,11,25,26,11:25:26,200,Tahap-0
01/07/2025,11,25,26,11:25:26,186,Tahap-0
01/07/2025,11,25,26,11:25:26,163,Tahap-0
01/07/2025,11,25,26,11:25:26,257,Tahap-0
01/07/2025,11,25,27,11:25:27,272,Tahap-0
01/07/2025,11,25,27,11:25:27,211,Tahap-0
01/07/2025,11,25,27,11:25:27,70,Tahap-0
01/07/2025,11,25,27,11:25:27,196,Tahap-0
01/07/2025,11,25,27,11:25:27,83,Tahap-0
01/07/2025,11,25,27,11:25:27,143,Tahap-0
01/07/2025,11,25,27,11:25:27,119,Tahap-0
01/07/2025,11,25,27,11:25:27,165,Tahap-0
01/07/2025,11,25,27,11:25:27,197,Tahap-0
01/07/2025,11,25,27,11:25:27,107,Tahap-0
01/07/2025,11,25,28,11:25:28,224,Tahap-0
01/07/2025,11,25,28,11:25:28,102,Tahap-0
01/07/2025,11,25,28,11:25:28,370,Tahap-0
01/07/2025,11,25,28,11:25:28,310,Tahap-0
01/07/2025,11,25,28,11:25:28,123,Tahap-0
01/07/2025,11,25,28,11:25:28,57,Tahap-0
01/07/2025,11,25,28,11:25:28,152,Tahap-0
01/07/2025,11,25,28,11:25:28,82,Tahap-0
01/07/2025,11,25,28,11:25:28,115,Tahap-0
01/07/2025,11,25,28,11:25:28,53,Tahap-0
01/07/2025,11,25,28,11:25:28,161,Tahap-0
01/07/2025,11,25,29,11:25:29,150,Tahap-0
01/07/2025,11,25,29,11:25:29,160,Tahap-0
01/07/2025,11,25,29,11:25:29,120,Tahap-0
01/07/2025,11,25,29,11:25:29,81,Tahap-0
01/07/2025,11,25,29,11:25:29,160,Tahap-0
01/07/2025,11,25,29,11:25:29,148,Tahap-0
01/07/2025,11,25,29,11:25:29,89,Tahap-0
01/07/2025,11,25,29,11:25:29,96,Tahap-0
01/07/2025,11,25,29,11:25:29,141,Tahap-0
01/07/2025,11,25,29,11:25:29,201,Tahap-0
01/07/2025,11,25,30,11:25:30,241,Tahap-0
01/07/2025,11,25,30,11:25:30,355,Tahap-0
01/07/2025,11,25,30,11:25:30,81,Tahap-0
01/07/2025,11,25,30,11:25:30,231,Tahap-0
01/07/2025,11,25,30,11:25:30,91,Tahap-0
01/07/2025,11,25,30,11:25:30,152,Tahap-0
01/07/2025,11,25,30,11:25:30,104,Tahap-0
01/07/2025,11,25,30,11:25:30,156,Tahap-0
01/07/2025,11,25,30,11:25:30,32,Tahap-0
01/07/2025,11,25,30,11:25:30,46,Tahap-0
01/07/2025,11,25,31,11:25:31,124,Tahap-0
01/07/2025,11,25,31,11:25:31,58,Tahap-0
01/07/2025,11,25,31,11:25:31,71,Tahap-0
01/07/2025,11,25,31,11:25:31,215,Tahap-0
01/07/2025,11,25,31,11:25:31,101,Tahap-0
01/07/2025,11,25,31,11:25:31,110,Tahap-0
01/07/2025,11,25,31,11:25:31,96,Tahap-0
01/07/2025,11,25,31,11:25:31,59,Tahap-0
01/07/2025,11,25,31,11:25:31,132,Tahap-0
01/07/2025,11,25,31,11:25:31,107,Tahap-0
01/07/2025,11,25,32,11:25:32,42,Tahap-0
01/07/2025,11,25,32,11:25:32,290,Tahap-0
01/07/2025,11,25,32,11:25:32,293,Tahap-0
01/07/2025,11,25,32,11:25:32,302,Tahap-0
01/07/2025,11,25,32,11:25:32,355,Tahap-0
01/07/2025,11,25,32,11:25:32,314,Tahap-0
01/07/2025,11,25,32,11:25:32,593,Tahap-0
01/07/2025,11,25,32,11:25:32,277,Tahap-0
01/07/2025,11,25,32,11:25:32,420,Tahap-0
01/07/2025,11,25,32,11:25:32,690,Tahap-0
01/07/2025,11,25,33,11:25:33,405,Tahap-0
01/07/2025,11,25,33,11:25:33,118,Tahap-0
01/07/2025,11,25,33,11:25:33,88,Tahap-0
01/07/2025,11,25,33,11:25:33,130,Tahap-0
01/07/2025,11,25,33,11:25:33,99,Tahap-0
01/07/2025,11,25,33,11:25:33,114,Tahap-0
01/07/2025,11,25,33,11:25:33,183,Tahap-0
01/07/2025,11,25,33,11:25:33,132,Tahap-0
01/07/2025,11,25,33,11:25:33,120,Tahap-0
01/07/2025,11,25,33,11:25:33,91,Tahap-0
01/07/2025,11,25,34,11:25:34,144,Tahap-0
01/07/2025,11,25,34,11:25:34,62,Tahap-0
01/07/2025,11,25,34,11:25:34,52,Tahap-0
01/07/2025,11,25,34,11:25:34,312,Tahap-0
01/07/2025,11,25,34,11:25:34,1271,Tahap-0
01/07/2025,11,25,34,11:25:34,242,Tahap-0
01/07/2025,11,25,34,11:25:34,497,Tahap-0
01/07/2025,11,25,34,11:25:34,425,Tahap-0
01/07/2025,11,25,34,11:25:34,100,Tahap-0
01/07/2025,11,25,34,11:25:34,357,Tahap-0
01/07/2025,11,25,35,11:25:35,234,Tahap-0
01/07/2025,11,25,35,11:25:35,311,Tahap-0
01/07/2025,11,25,36,11:25:36,223,Tahap-0
01/07/2025,11,25,36,11:25:36,1522,Tahap-0
01/07/2025,11,25,36,11:25:36,233,Tahap-0
01/07/2025,11,25,36,11:25:36,315,Tahap-0
01/07/2025,11,25,36,11:25:36,64,Tahap-0
01/07/2025,11,25,36,11:25:36,251,Tahap-0
01/07/2025,11,25,36,11:25:36,74,Tahap-0
01/07/2025,11,25,36,11:25:36,243,Tahap-0
01/07/2025,11,25,36,11:25:36,266,Tahap-0
01/07/2025,11,25,36,11:25:36,178,Tahap-0
01/07/2025,11,25,36,11:25:36,237,Tahap-0
01/07/2025,11,25,36,11:25:36,376,Tahap-0
01/07/2025,11,25,36,11:25:36,36,Tahap-0
01/07/2025,11,25,36,11:25:36,104,Tahap-0
01/07/2025,11,25,36,11:25:36,412,Tahap-0
01/07/2025,11,25,36,11:25:36,543,Tahap-0
01/07/2025,11,25,36,11:25:36,1171,Tahap-0
01/07/2025,11,25,36,11:25:36,560,Tahap-0
01/07/2025,11,25,37,11:25:37,468,Tahap-0
01/07/2025,11,25,37,11:25:37,428,Tahap-0
01/07/2025,11,25,37,11:25:37,162,Tahap-0
01/07/2025,11,25,37,11:25:37,303,Tahap-0
01/07/2025,11,25,37,11:25:37,80,Tahap-0
01/07/2025,11,25,37,11:25:37,297,Tahap-0
01/07/2025,11,25,37,11:25:37,506,Tahap-0
01/07/2025,11,25,37,11:25:37,490,Tahap-0
01/07/2025,11,25,37,11:25:37,336,Tahap-0
01/07/2025,11,25,37,11:25:37,253,Tahap-0
01/07/2025,11,25,38,11:25:38,362,Tahap-0
01/07/2025,11,25,38,11:25:38,15,Tahap-0
01/07/2025,11,25,38,11:25:38,111,Tahap-0
01/07/2025,11,25,38,11:25:38,267,Tahap-0
01/07/2025,11,25,38,11:25:38,279,Tahap-0
01/07/2025,11,25,38,11:25:38,970,Tahap-0
01/07/2025,11,25,38,11:25:38,-212,Tahap-0
01/07/2025,11,25,38,11:25:38,-364,Tahap-0
01/07/2025,11,25,38,11:25:38,-184,Tahap-0
01/07/2025,11,25,38,11:25:38,-368,Tahap-0
01/07/2025,11,25,39,11:25:39,-188,Tahap-0
01/07/2025,11,25,39,11:25:39,-332,Tahap-0
01/07/2025,11,25,39,11:25:39,-280,Tahap-0
01/07/2025,11,25,39,11:25:39,-304,Tahap-0
01/07/2025,11,25,39,11:25:39,-264,Tahap-0
01/07/2025,11,25,39,11:25:39,-380,Tahap-0
01/07/2025,11,25,39,11:25:39,-244,Tahap-0
01/07/2025,11,25,39,11:25:39,-192,Tahap-0
01/07/2025,11,25,39,11:25:39,-344,Tahap-0
01/07/2025,11,25,39,11:25:39,-192,Tahap-0
01/07/2025,11,25,40,11:25:40,-120,Tahap-0
01/07/2025,11,25,40,11:25:40,-352,Tahap-0
01/07/2025,11,25,40,11:25:40,-160,Tahap-0
01/07/2025,11,25,40,11:25:40,-312,Tahap-0
01/07/2025,11,25,40,11:25:40,-264,Tahap-0
01/07/2025,11,25,40,11:25:40,-212,Tahap-0
01/07/2025,11,25,40,11:25:40,-356,Tahap-0
01/07/2025,11,25,40,11:25:40,-180,Tahap-0
01/07/2025,11,25,40,11:25:40,-256,Tahap-0
01/07/2025,11,25,40,11:25:40,-276,Tahap-0
01/07/2025,11,25,41,11:25:41,-200,Tahap-0
01/07/2025,11,25,41,11:25:41,-236,Tahap-0
01/07/2025,11,25,41,11:25:41,-212,Tahap-0
01/07/2025,11,25,41,11:25:41,-244,Tahap-0
01/07/2025,11,25,41,11:25:41,-200,Tahap-0
01/07/2025,11,25,41,11:25:41,-264,Tahap-0
01/07/2025,11,25,41,11:25:41,-208,Tahap-0
01/07/2025,11,25,41,11:25:41,-364,Tahap-0
01/07/2025,11,25,41,11:25:41,-40,Tahap-0
01/07/2025,11,25,41,11:25:41,-320,Tahap-0
01/07/2025,11,25,42,11:25:42,-144,Tahap-0
01/07/2025,11,25,42,11:25:42,-112,Tahap-0
01/07/2025,11,25,42,11:25:42,-248,Tahap-0
01/07/2025,11,25,42,11:25:42,-152,Tahap-0
01/07/2025,11,25,42,11:25:42,-112,Tahap-0
01/07/2025,11,25,42,11:25:42,-260,Tahap-0
01/07/2025,11,25,42,11:25:42,-136,Tahap-0
01/07/2025,11,25,42,11:25:42,-232,Tahap-0
01/07/2025,11,25,42,11:25:42,-208,Tahap-0
01/07/2025,11,25,42,11:25:42,-80,Tahap-0
01/07/2025,11,25,43,11:25:43,-272,Tahap-0
01/07/2025,11,25,43,11:25:43,-164,Tahap-0
01/07/2025,11,25,43,11:25:43,-52,Tahap-0
01/07/2025,11,25,43,11:25:43,-196,Tahap-0
01/07/2025,11,25,43,11:25:43,-168,Tahap-0
01/07/2025,11,25,43,11:25:43,-56,Tahap-0
01/07/2025,11,25,43,11:25:43,-172,Tahap-0
01/07/2025,11,25,43,11:25:43,-116,Tahap-0
01/07/2025,11,25,43,11:25:43,-168,Tahap-0
01/07/2025,11,25,43,11:25:43,-64,Tahap-0
01/07/2025,11,25,44,11:25:44,-132,Tahap-0
01/07/2025,11,25,44,11:25:44,-132,Tahap-0
01/07/2025,11,25,44,11:25:44,-4,Tahap-0
01/07/2025,11,25,44,11:25:44,-92,Tahap-0
01/07/2025,11,25,44,11:25:44,-12,Tahap-0
01/07/2025,11,25,44,11:25:44,-136,Tahap-0
01/07/2025,11,25,44,11:25:44,-52,Tahap-0
01/07/2025,11,25,44,11:25:44,-32,Tahap-0
01/07/2025,11,25,44,11:25:44,-84,Tahap-0
01/07/2025,11,25,44,11:25:44,-116,Tahap-0
01/07/2025,11,25,45,11:25:45,120,Tahap-0
01/07/2025,11,25,45,11:25:45,-72,Tahap-0
01/07/2025,11,25,45,11:25:45,-52,Tahap-0
01/07/2025,11,25,45,11:25:45,136,Tahap-0
01/07/2025,11,25,45,11:25:45,36,Tahap-0
01/07/2025,11,25,45,11:25:45,-64,Tahap-0
01/07/2025,11,25,45,11:25:45,124,Tahap-0
01/07/2025,11,25,45,11:25:45,-60,Tahap-0
01/07/2025,11,25,45,11:25:45,68,Tahap-0
01/07/2025,11,25,45,11:25:45,64,Tahap-0
01/07/2025,11,25,46,11:25:46,-32,Tahap-0
01/07/2025,11,25,46,11:25:46,144,Tahap-0
01/07/2025,11,25,46,11:25:46,28,Tahap-0
01/07/2025,11,25,46,11:25:46,20,Tahap-0
01/07/2025,11,25,46,11:25:46,148,Tahap-0
01/07/2025,11,25,46,11:25:46,220,Tahap-0
01/07/2025,11,25,46,11:25:46,24,Tahap-0
01/07/2025,11,25,46,11:25:46,164,Tahap-0
01/07/2025,11,25,46,11:25:46,120,Tahap-0
01/07/2025,11,25,46,11:25:46,152,Tahap-0
01/07/2025,11,25,47,11:25:47,132,Tahap-0
01/07/2025,11,25,47,11:25:47,152,Tahap-0
01/07/2025,11,25,47,11:25:47,196,Tahap-0
01/07/2025,11,25,47,11:25:47,76,Tahap-0
01/07/2025,11,25,47,11:25:47,188,Tahap-0
01/07/2025,11,25,47,11:25:47,192,Tahap-0
01/07/2025,11,25,47,11:25:47,192,Tahap-0
01/07/2025,11,25,47,11:25:47,272,Tahap-0
01/07/2025,11,25,47,11:25:47,148,Tahap-0
01/07/2025,11,25,47,11:25:47,276,Tahap-0
01/07/2025,11,25,48,11:25:48,284,Tahap-0
01/07/2025,11,25,48,11:25:48,160,Tahap-0
01/07/2025,11,25,48,11:25:48,248,Tahap-0
01/07/2025,11,25,48,11:25:48,372,Tahap-0
01/07/2025,11,25,48,11:25:48,188,Tahap-0
01/07/2025,11,25,48,11:25:48,336,Tahap-0
01/07/2025,11,25,48,11:25:48,340,Tahap-0
01/07/2025,11,25,48,11:25:48,196,Tahap-0
01/07/2025,11,25,48,11:25:48,416,Tahap-0
01/07/2025,11,25,48,11:25:48,292,Tahap-0
01/07/2025,11,25,49,11:25:49,292,Tahap-0
01/07/2025,11,25,49,11:25:49,408,Tahap-0
01/07/2025,11,25,49,11:25:49,220,Tahap-0
01/07/2025,11,25,49,11:25:49,308,Tahap-0
01/07/2025,11,25,49,11:25:49,428,Tahap-0
01/07/2025,11,25,49,11:25:49,272,Tahap-0
01/07/2025,11,25,49,11:25:49,380,Tahap-0
01/07/2025,11,25,49,11:25:49,480,Tahap-0
01/07/2025,11,25,49,11:25:49,316,Tahap-0
01/07/2025,11,25,49,11:25:49,388,Tahap-0
01/07/2025,11,25,50,11:25:50,516,Tahap-0
01/07/2025,11,25,50,11:25:50,364,Tahap-0
01/07/2025,11,25,50,11:25:50,416,Tahap-0
01/07/2025,11,25,50,11:25:50,372,Tahap-0
01/07/2025,11,25,50,11:25:50,436,Tahap-0
01/07/2025,11,25,50,11:25:50,472,Tahap-0
01/07/2025,11,25,50,11:25:50,432,Tahap-0
01/07/2025,11,25,50,11:25:50,580,Tahap-0
01/07/2025,11,25,50,11:25:50,412,Tahap-0
01/07/2025,11,25,50,11:25:50,580,Tahap-0
01/07/2025,11,25,51,11:25:51,412,Tahap-0
01/07/2025,11,25,51,11:25:51,500,Tahap-0
01/07/2025,11,25,51,11:25:51,560,Tahap-0
01/07/2025,11,25,51,11:25:51,532,Tahap-0
01/07/2025,11,25,51,11:25:51,368,Tahap-0
01/07/2025,11,26,15,11:26:15,6832,Tahap-0
01/07/2025,11,26,16,11:26:16,2692,Tahap-0
01/07/2025,11,26,16,11:26:16,1849,Tahap-0
01/07/2025,11,26,16,11:26:16,1346,Tahap-0
01/07/2025,11,26,16,11:26:16,616,Tahap-0
01/07/2025,11,26,16,11:26:16,869,Tahap-0
01/07/2025,11,26,16,11:26:16,464,Tahap-0
01/07/2025,11,26,16,11:26:16,741,Tahap-0
01/07/2025,11,26,16,11:26:16,525,Tahap-0
01/07/2025,11,26,16,11:26:16,329,Tahap-0
01/07/2025,11,26,16,11:26:16,371,Tahap-0
01/07/2025,11,26,17,11:26:17,191,Tahap-0
01/07/2025,11,26,17,11:26:17,329,Tahap-0
01/07/2025,11,26,17,11:26:17,67,Tahap-0
01/07/2025,11,26,17,11:26:17,421,Tahap-0
01/07/2025,11,26,17,11:26:17,341,Tahap-0
01/07/2025,11,26,17,11:26:17,317,Tahap-0
01/07/2025,11,26,17,11:26:17,302,Tahap-0
01/07/2025,11,26,17,11:26:17,243,Tahap-0
01/07/2025,11,26,17,11:26:17,203,Tahap-0
01/07/2025,11,26,17,11:26:17,355,Tahap-0
01/07/2025,11,26,18,11:26:18,238,Tahap-0
01/07/2025,11,26,18,11:26:18,333,Tahap-0
01/07/2025,11,26,18,11:26:18,453,Tahap-0
01/07/2025,11,26,18,11:26:18,275,Tahap-0
01/07/2025,11,26,18,11:26:18,117,Tahap-0
01/07/2025,11,26,18,11:26:18,260,Tahap-0
01/07/2025,11,26,18,11:26:18,239,Tahap-0
01/07/2025,11,26,18,11:26:18,113,Tahap-0
01/07/2025,11,26,18,11:26:18,144,Tahap-0
01/07/2025,11,26,18,11:26:18,364,Tahap-0
01/07/2025,11,26,19,11:26:19,291,Tahap-0
01/07/2025,11,26,19,11:26:19,147,Tahap-0
01/07/2025,11,26,19,11:26:19,76,Tahap-0
01/07/2025,11,26,19,11:26:19,210,Tahap-0
01/07/2025,11,26,19,11:26:19,272,Tahap-0
01/07/2025,11,26,19,11:26:19,204,Tahap-0
01/07/2025,11,26,19,11:26:19,86,Tahap-0
01/07/2025,11,26,19,11:26:19,93,Tahap-0
01/07/2025,11,26,19,11:26:19,248,Tahap-0
01/07/2025,11,26,19,11:26:19,229,Tahap-0
01/07/2025,11,26,20,11:26:20,135,Tahap-0
01/07/2025,11,26,20,11:26:20,412,Tahap-0
01/07/2025,11,26,20,11:26:20,78,Tahap-0
01/07/2025,11,26,20,11:26:20,146,Tahap-0
01/07/2025,11,26,20,11:26:20,101,Tahap-0
01/07/2025,11,26,20,11:26:20,269,Tahap-0
01/07/2025,11,26,20,11:26:20,370,Tahap-0
01/07/2025,11,26,20,11:26:20,63,Tahap-0
01/07/2025,11,26,20,11:26:20,151,Tahap-0
01/07/2025,11,26,20,11:26:20,250,Tahap-0
01/07/2025,11,26,21,11:26:21,191,Tahap-0
01/07/2025,11,26,21,11:26:21,185,Tahap-0
01/07/2025,11,26,21,11:26:21,218,Tahap-0
01/07/2025,11,26,21,11:26:21,162,Tahap-0
01/07/2025,11,26,21,11:26:21,216,Tahap-0
01/07/2025,11,26,21,11:26:21,190,Tahap-0
01/07/2025,11,26,21,11:26:21,200,Tahap-0
01/07/2025,11,26,21,11:26:21,156,Tahap-0
01/07/2025,11,26,21,11:26:21,284,Tahap-0
01/07/2025,11,26,21,11:26:21,188,Tahap-0
01/07/2025,11,26,22,11:26:22,256,Tahap-0
01/07/2025,11,26,22,11:26:22,172,Tahap-0
01/07/2025,11,26,22,11:26:22,239,Tahap-0
01/07/2025,11,26,22,11:26:22,335,Tahap-0
01/07/2025,11,26,22,11:26:22,161,Tahap-0
01/07/2025,11,26,22,11:26:22,186,Tahap-0
01/07/2025,11,26,22,11:26:22,262,Tahap-0
01/07/2025,11,26,22,11:26:22,460,Tahap-0
01/07/2025,11,26,22,11:26:22,275,Tahap-0
01/07/2025,11,26,22,11:26:22,691,Tahap-0
01/07/2025,11,26,23,11:26:23,309,Tahap-0
01/07/2025,11,26,23,11:26:23,220,Tahap-0
01/07/2025,11,26,23,11:26:23,290,Tahap-0
01/07/2025,11,26,23,11:26:23,301,Tahap-0
01/07/2025,11,26,23,11:26:23,282,Tahap-0
01/07/2025,11,26,23,11:26:23,105,Tahap-0
01/07/2025,11,26,23,11:26:23,57,Tahap-0
01/07/2025,11,26,23,11:26:23,206,Tahap-0
01/07/2025,11,26,23,11:26:23,192,Tahap-0
01/07/2025,11,26,23,11:26:23,288,Tahap-0
01/07/2025,11,26,24,11:26:24,266,Tahap-0
01/07/2025,11,26,24,11:26:24,204,Tahap-0
01/07/2025,11,26,24,11:26:24,206,Tahap-0
01/07/2025,11,26,24,11:26:24,55,Tahap-0
01/07/2025,11,26,24,11:26:24,1550,Tahap-0
01/07/2025,11,26,24,11:26:24,33,Tahap-0
01/07/2025,11,26,24,11:26:24,226,Tahap-0
01/07/2025,11,26,24,11:26:24,117,Tahap-0
01/07/2025,11,26,24,11:26:24,220,Tahap-0
01/07/2025,11,26,24,11:26:24,360,Tahap-0
01/07/2025,11,26,25,11:26:25,204,Tahap-0
01/07/2025,11,26,25,11:26:25,674,Tahap-0
01/07/2025,11,26,25,11:26:25,915,Tahap-0
01/07/2025,11,26,25,11:26:25,1065,Tahap-0
01/07/2025,11,26,25,11:26:25,58,Tahap-0
01/07/2025,11,26,25,11:26:25,170,Tahap-0
01/07/2025,11,26,25,11:26:25,203,Tahap-0
01/07/2025,11,26,25,11:26:25,187,Tahap-0
01/07/2025,11,26,25,11:26:25,170,Tahap-0
01/07/2025,11,26,25,11:26:25,71,Tahap-0
01/07/2025,11,26,26,11:26:26,194,Tahap-0
01/07/2025,11,26,26,11:26:26,173,Tahap-0
01/07/2025,11,26,26,11:26:26,204,Tahap-0
01/07/2025,11,26,26,11:26:26,190,Tahap-0
01/07/2025,11,26,26,11:26:26,242,Tahap-0
01/07/2025,11,26,26,11:26:26,189,Tahap-0
01/07/2025,11,26,26,11:26:26,258,Tahap-0
01/07/2025,11,26,26,11:26:26,221,Tahap-0
01/07/2025,11,26,26,11:26:26,263,Tahap-0
01/07/2025,11,26,26,11:26:26,148,Tahap-0
01/07/2025,11,26,27,11:26:27,127,Tahap-0
01/07/2025,11,26,27,11:26:27,223,Tahap-0
01/07/2025,11,26,27,11:26:27,173,Tahap-0
01/07/2025,11,26,27,11:26:27,307,Tahap-0
01/07/2025,11,26,27,11:26:27,158,Tahap-0
01/07/2025,11,26,27,11:26:27,459,Tahap-0
01/07/2025,11,26,27,11:26:27,645,Tahap-0
01/07/2025,11,26,27,11:26:27,455,Tahap-0
01/07/2025,11,26,27,11:26:27,410,Tahap-0
01/07/2025,11,26,27,11:26:27,67,Tahap-0
01/07/2025,11,26,28,11:26:28,126,Tahap-0
01/07/2025,11,26,28,11:26:28,172,Tahap-0
01/07/2025,11,26,28,11:26:28,203,Tahap-0
01/07/2025,11,26,28,11:26:28,199,Tahap-0
01/07/2025,11,26,28,11:26:28,230,Tahap-0
01/07/2025,11,26,28,11:26:28,1013,Tahap-0
01/07/2025,11,26,28,11:26:28,136,Tahap-0
01/07/2025,11,26,28,11:26:28,104,Tahap-0
01/07/2025,11,26,28,11:26:28,196,Tahap-0
01/07/2025,11,26,28,11:26:28,104,Tahap-0
01/07/2025,11,26,29,11:26:29,224,Tahap-0
01/07/2025,11,26,29,11:26:29,124,Tahap-0
01/07/2025,11,26,29,11:26:29,244,Tahap-0
01/07/2025,11,26,29,11:26:29,88,Tahap-0
01/07/2025,11,26,29,11:26:29,144,Tahap-0
01/07/2025,11,26,29,11:26:29,152,Tahap-0
01/07/2025,11,26,29,11:26:29,168,Tahap-0
01/07/2025,11,26,29,11:26:29,16,Tahap-0
01/07/2025,11,26,29,11:26:29,168,Tahap-0
01/07/2025,11,26,29,11:26:29,136,Tahap-0
01/07/2025,11,26,30,11:26:30,8,Tahap-0
01/07/2025,11,26,30,11:26:30,200,Tahap-0
01/07/2025,11,26,30,11:26:30,176,Tahap-0
01/07/2025,11,26,30,11:26:30,232,Tahap-0
01/07/2025,11,26,30,11:26:30,28,Tahap-0
01/07/2025,11,26,30,11:26:30,120,Tahap-0
01/07/2025,11,26,30,11:26:30,108,Tahap-0
01/07/2025,11,26,30,11:26:30,68,Tahap-0
01/07/2025,11,26,30,11:26:30,124,Tahap-0
01/07/2025,11,26,31,11:26:31,188,Tahap-0
01/07/2025,11,26,31,11:26:31,36,Tahap-0
01/07/2025,11,26,31,11:26:31,160,Tahap-0
01/07/2025,11,26,31,11:26:31,248,Tahap-0
01/07/2025,11,26,31,11:26:31,140,Tahap-0
01/07/2025,11,26,31,11:26:31,76,Tahap-0
01/07/2025,11,26,31,11:26:31,240,Tahap-0
01/07/2025,11,26,31,11:26:31,96,Tahap-0
01/07/2025,11,26,31,11:26:31,180,Tahap-0
01/07/2025,11,26,31,11:26:31,36,Tahap-0
01/07/2025,11,26,32,11:26:32,316,Tahap-0
01/07/2025,11,26,32,11:26:32,56,Tahap-0
01/07/2025,11,26,32,11:26:32,192,Tahap-0
01/07/2025,11,26,32,11:26:32,152,Tahap-0
01/07/2025,11,26,32,11:26:32,212,Tahap-0
01/07/2025,11,26,32,11:26:32,184,Tahap-0
01/07/2025,11,26,32,11:26:32,200,Tahap-0
01/07/2025,11,26,32,11:26:32,68,Tahap-0
01/07/2025,11,26,32,11:26:32,256,Tahap-0
01/07/2025,11,26,32,11:26:32,92,Tahap-0
01/07/2025,11,26,32,11:26:32,128,Tahap-0
01/07/2025,11,26,33,11:26:33,308,Tahap-0
01/07/2025,11,26,33,11:26:33,124,Tahap-0
01/07/2025,11,26,33,11:26:33,120,Tahap-0
01/07/2025,11,26,33,11:26:33,304,Tahap-0
01/07/2025,11,26,33,11:26:33,92,Tahap-0
01/07/2025,11,26,33,11:26:33,156,Tahap-0
01/07/2025,11,26,33,11:26:33,216,Tahap-0
01/07/2025,11,26,33,11:26:33,160,Tahap-0
01/07/2025,11,26,33,11:26:33,132,Tahap-0
01/07/2025,11,26,33,11:26:33,184,Tahap-0
01/07/2025,11,26,34,11:26:34,76,Tahap-0
01/07/2025,11,26,34,11:26:34,212,Tahap-0
01/07/2025,11,26,34,11:26:34,84,Tahap-0
01/07/2025,11,26,34,11:26:34,208,Tahap-0
01/07/2025,11,26,34,11:26:34,188,Tahap-0
01/07/2025,11,26,34,11:26:34,208,Tahap-0
01/07/2025,11,26,34,11:26:34,72,Tahap-0
01/07/2025,11,26,34,11:26:34,248,Tahap-0
01/07/2025,11,26,34,11:26:34,148,Tahap-0
01/07/2025,11,26,34,11:26:34,196,Tahap-0
01/07/2025,11,26,35,11:26:35,84,Tahap-0
01/07/2025,11,26,35,11:26:35,256,Tahap-0
01/07/2025,11,26,36,11:26:36,140,Tahap-0
01/07/2025,11,26,36,11:26:36,64,Tahap-0
01/07/2025,11,26,36,11:26:36,280,Tahap-0
01/07/2025,11,26,36,11:26:36,128,Tahap-0
01/07/2025,11,26,36,11:26:36,136,Tahap-0
01/07/2025,11,26,36,11:26:36,184,Tahap-0
01/07/2025,11,26,36,11:26:36,116,Tahap-0
01/07/2025,11,26,36,11:26:36,100,Tahap-0
01/07/2025,11,26,36,11:26:36,220,Tahap-0
01/07/2025,11,26,36,11:26:36,-24,Tahap-0
01/07/2025,11,26,36,11:26:36,260,Tahap-0
01/07/2025,11,26,36,11:26:36,84,Tahap-0
01/07/2025,11,26,36,11:26:36,84,Tahap-0
01/07/2025,11,26,36,11:26:36,204,Tahap-0
01/07/2025,11,26,36,11:26:36,260,Tahap-0
01/07/2025,11,26,36,11:26:36,-8,Tahap-0
01/07/2025,11,26,36,11:26:36,252,Tahap-0
01/07/2025,11,26,36,11:26:36,104,Tahap-0
01/07/2025,11,26,37,11:26:37,72,Tahap-0
01/07/2025,11,26,37,11:26:37,140,Tahap-0
01/07/2025,11,26,37,11:26:37,20,Tahap-0
01/07/2025,11,26,37,11:26:37,176,Tahap-0
01/07/2025,11,26,37,11:26:37,32,Tahap-0
01/07/2025,11,26,37,11:26:37,144,Tahap-0
01/07/2025,11,26,37,11:26:37,168,Tahap-0
01/07/2025,11,26,37,11:26:37,192,Tahap-0
01/07/2025,11,26,37,11:26:37,152,Tahap-0
01/07/2025,11,26,37,11:26:37,128,Tahap-0
01/07/2025,11,26,38,11:26:38,200,Tahap-0
01/07/2025,11,26,38,11:26:38,164,Tahap-0
01/07/2025,11,26,38,11:26:38,60,Tahap-0
01/07/2025,11,26,38,11:26:38,116,Tahap-0
01/07/2025,11,26,38,11:26:38,224,Tahap-0
01/07/2025,11,26,38,11:26:38,-56,Tahap-0
01/07/2025,11,26,38,11:26:38,244,Tahap-0
01/07/2025,11,26,38,11:26:38,100,Tahap-0
01/07/2025,11,26,38,11:26:38,76,Tahap-0
01/07/2025,11,26,38,11:26:38,148,Tahap-0
01/07/2025,11,26,39,11:26:39,112,Tahap-0
01/07/2025,11,26,39,11:26:39,-72,Tahap-0
01/07/2025,11,26,39,11:26:39,180,Tahap-0
01/07/2025,11,26,39,11:26:39,-72,Tahap-0
01/07/2025,11,26,39,11:26:39,96,Tahap-0
01/07/2025,11,26,39,11:26:39,116,Tahap-0
01/07/2025,11,26,39,11:26:39,-32,Tahap-0
01/07/2025,11,26,39,11:26:39,144,Tahap-0
